2026/06/29 14:50:00 [notice] 1#1: using the "epoll" event method
2026/06/29 14:50:00 [notice] 1#1: nginx/1.29.5
2026/06/29 14:50:00 [notice] 1#1: built by gcc 15.2.0 (Alpine 15.2.0) 
2026/06/29 14:50:00 [notice] 1#1: OS: Linux 6.6.87.2-microsoft-standard-WSL2
2026/06/29 14:50:00 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2026/06/29 14:50:00 [notice] 1#1: start worker processes
2026/06/29 14:50:00 [notice] 1#1: start worker process 21
2026/06/29 14:50:00 [notice] 1#1: start worker process 22
2026/06/29 14:50:00 [notice] 1#1: start worker process 23
2026/06/29 14:50:00 [notice] 1#1: start worker process 24
2026/06/29 14:50:00 [notice] 1#1: start worker process 25
2026/06/29 14:50:00 [notice] 1#1: start worker process 26
2026/06/29 14:50:00 [notice] 1#1: start worker process 27
2026/06/29 14:50:00 [notice] 1#1: start worker process 28
2026/06/29 14:50:00 [notice] 1#1: start worker process 29
2026/06/29 14:50:00 [notice] 1#1: start worker process 30
2026/06/29 14:50:00 [notice] 1#1: start worker process 31
2026/06/29 14:50:00 [notice] 1#1: start worker process 32
2026/06/29 14:50:00 [notice] 1#1: start worker process 33
2026/06/29 14:50:00 [notice] 1#1: start worker process 34
2026/06/29 14:50:00 [notice] 1#1: start worker process 35
2026/06/29 14:50:00 [notice] 1#1: start worker process 36
